model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
20,random_forest,"{'n_estimators': 195, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.8, 0.73, 0.72, 0.73, 0.73, 0.73, 0.68, 0.68, 0.72, 0.68, 0.72, 0.73, 0.73, 0.87, 0.77, 0.72, 0.65, 0.78, 0.82, 0.78]",0.738,"[]",-
21,random_forest,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.83, 0.73, 0.7, 0.7, 0.72, 0.78, 0.65, 0.7, 0.67, 0.65, 0.73, 0.7, 0.77, 0.85, 0.78, 0.72, 0.67, 0.8, 0.87, 0.75]",0.738,"[]",-
22,random_forest,"{'n_estimators': 230, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.8, 0.7, 0.7, 0.75, 0.73, 0.72, 0.68, 0.75, 0.7, 0.67, 0.7, 0.77, 0.75, 0.83, 0.77, 0.72, 0.7, 0.75, 0.85, 0.73]",0.738,"[]",-
23,random_forest,"{'n_estimators': 230, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.8, 0.72, 0.68, 0.72, 0.73, 0.7, 0.72, 0.72, 0.7, 0.72, 0.67, 0.78, 0.73, 0.83, 0.75, 0.78, 0.73, 0.73, 0.78, 0.77]",0.738,"[]",-
24,random_forest,"{'n_estimators': 205, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.73, 0.73, 0.7, 0.73, 0.77, 0.73, 0.68, 0.73, 0.7, 0.68, 0.72, 0.77, 0.75, 0.88, 0.77, 0.7, 0.68, 0.75, 0.82, 0.73]",0.738,"[]",-
25,random_forest,"{'n_estimators': 220, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_leaf_nodes': None}","[0.78, 0.77, 0.7, 0.73, 0.73, 0.73, 0.7, 0.7, 0.68, 0.7, 0.65, 0.78, 0.78, 0.8, 0.77, 0.7, 0.72, 0.77, 0.83, 0.73]",0.738,"[]",-
26,random_forest,"{'n_estimators': 225, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.83, 0.72, 0.7, 0.75, 0.72, 0.75, 0.68, 0.68, 0.67, 0.7, 0.72, 0.73, 0.73, 0.83, 0.77, 0.72, 0.67, 0.8, 0.83, 0.75]",0.738,"[]",-
27,random_forest,"{'n_estimators': 230, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.82, 0.7, 0.72, 0.72, 0.75, 0.77, 0.63, 0.72, 0.67, 0.65, 0.7, 0.73, 0.73, 0.85, 0.75, 0.72, 0.68, 0.78, 0.87, 0.78]",0.737,"[]",-
28,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_leaf_nodes': None}","[0.82, 0.72, 0.7, 0.75, 0.73, 0.73, 0.65, 0.68, 0.72, 0.67, 0.7, 0.73, 0.75, 0.87, 0.77, 0.7, 0.68, 0.78, 0.83, 0.75]",0.736,"[]",-
29,random_forest,"{'n_estimators': 190, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None}","[0.8, 0.72, 0.7, 0.78, 0.7, 0.77, 0.7, 0.72, 0.67, 0.65, 0.7, 0.73, 0.73, 0.85, 0.75, 0.7, 0.67, 0.78, 0.83, 0.77]",0.736,"[]",-
